model,split,k,scaling,weights,tie_break,accuracy,macro_precision,macro_recall,macro_f1,ties,seed
manual,val,5,minmax,distance,min_class,0.8215784624833657,0.7564496685014419,0.7354772559467139,0.7447315302056207,1,42
manual,val,5,minmax,distance,nearest,0.8214760978605794,0.7562860227476725,0.7354099793051638,0.7446261141509309,1,42
manual,val,5,minmax,uniform,min_class,0.8307912785341386,0.7715011691655624,0.7427055366171473,0.7549782903438063,0,42
manual,val,5,minmax,uniform,nearest,0.8307912785341386,0.7715011691655624,0.7427055366171473,0.7549782903438063,0,42
manual,val,5,standard,distance,min_class,0.8324291124987204,0.7718946568477114,0.7541957363939398,0.7622329710995475,5,42
manual,val,5,standard,distance,nearest,0.8323267478759341,0.7717303228983902,0.7541284597523897,0.7621252678346638,5,42
manual,val,5,standard,uniform,min_class,0.8370355205241069,0.7799381072395415,0.7553164380009332,0.7661306243093955,0,42
manual,val,5,standard,uniform,nearest,0.8370355205241069,0.7799381072395415,0.7553164380009332,0.7661306243093955,0,42
manual,val,5,,distance,min_class,0.8501381922407616,0.7974026171635389,0.7802085362859748,0.788127949017791,61,42
manual,val,5,,distance,nearest,0.8488074521445389,0.7947572594204206,0.7809473414758509,0.7874078391314352,61,42
manual,val,5,,uniform,min_class,0.8527996724332071,0.801328922039835,0.783717803362669,0.791825496578355,0,42
manual,val,5,,uniform,nearest,0.8527996724332071,0.801328922039835,0.783717803362669,0.791825496578355,0,42
manual,val,7,minmax,distance,min_class,0.8236257549390931,0.7599590724009089,0.7356494058467864,0.7461872146686774,1,42
manual,val,7,minmax,distance,nearest,0.8236257549390931,0.7599590724009089,0.7356494058467864,0.7461872146686774,1,42
manual,val,7,minmax,uniform,min_class,0.8324291124987204,0.7746361343084012,0.7427552528173857,0.7561402124323126,0,42
manual,val,7,minmax,uniform,nearest,0.8324291124987204,0.7746361343084012,0.7427552528173857,0.7561402124323126,0,42
manual,val,7,standard,distance,min_class,0.8336574879721568,0.7744188769068605,0.7525096173643171,0.7622421773769174,1,42
manual,val,7,standard,distance,nearest,0.8336574879721568,0.7744188769068605,0.7525096173643171,0.7622421773769174,1,42
manual,val,7,standard,uniform,min_class,0.8418466577950661,0.7874322481416842,0.7611185517483752,0.7726300348527577,0,42
manual,val,7,standard,uniform,nearest,0.8418466577950661,0.7874322481416842,0.7611185517483752,0.7726300348527577,0,42
manual,val,7,,distance,min_class,0.8482956290306071,0.7953174977714854,0.7756240808116539,0.7845759459300528,40,42
manual,val,7,,distance,nearest,0.847169618179957,0.7931354905798875,0.7759107478191659,0.7838294522471975,40,42
manual,val,7,,uniform,min_class,0.8507523799774798,0.7993635256281817,0.7776787388079535,0.7874586726912964,0,42
manual,val,7,,uniform,nearest,0.8507523799774798,0.7993635256281817,0.7776787388079535,0.7874586726912964,0,42
manual,val,8,minmax,distance,min_class,0.8250588596581021,0.762418451945893,0.7361512602293889,0.7474259611963969,34,42
manual,val,8,minmax,distance,nearest,0.8250588596581021,0.7621307350911322,0.7376179888930496,0.7482495356173938,34,42
manual,val,8,minmax,uniform,min_class,0.8316101955164296,0.7832926820138499,0.7178693438682163,0.7405235290591032,609,42
manual,val,8,minmax,uniform,nearest,0.8312007370252841,0.7732816584489219,0.7391611486578296,0.7532811081376376,609,42
manual,val,8,standard,distance,min_class,0.8363189681646023,0.7787251252161451,0.7548455015100828,0.7653678348247871,17,42
manual,val,8,standard,distance,nearest,0.8361142389190296,0.7781586497763391,0.7555909854251792,0.7656032547944369,17,42
manual,val,8,standard,uniform,min_class,0.8423584809089979,0.7984489783586406,0.7388673135357494,0.760857370959316,582,42
manual,val,8,standard,uniform,nearest,0.8424608455317842,0.7885480128062117,0.7613755387313094,0.7732181800796704,582,42
manual,val,8,,distance,min_class,0.8509571092230526,0.8000654759898485,0.7767865820264911,0.7872077223639076,103,42
